state,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,fim,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,EOF
0,S2,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,ACCEPT
2,,S4,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,S6,,,,,S11,S12,S13,,,,,S15,,,,,,S16,,
4,,,S19,,,,S21,S22,S23,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,R2
6,,,,,,,,,,,,,,,S24,,,,,,,,,,
7,,,,,S6,,,,,S11,S12,S13,,,,,S15,,,,,,S16,,
8,,,,,S6,,,,,S11,S12,S13,,,,,S15,,,,,,S16,,
9,,,,,S6,,,,,S11,S12,S13,,,,,S15,,,,,,S16,,
10,,,,,S6,,,,,S11,S12,S13,,,,,S15,,,,,,S16,,
11,,,,,,,,,,,,,,,,,,,,,,,,,R16
12,,,,,S29,,,,,,,,,,,,,,,,,,,,
13,,,,,S30,,,,,,,,S32,S33,,,,,,,,,,,
14,,,,,,,,,,,S12,S13,,,,,S15,,,,,S38,,,
15,,,,,,,,,,,,,,,,,,S39,,,,,,,
16,,,,,,,,,,,,,,,,,,S40,,,,,,,
17,,,S19,,,,S21,S22,S23,,,,,,,,,,,,,,,,
18,,,,,R3,,,,,R3,R3,R3,,,,,R3,,,,,,R3,,
19,,,,S42,,,,,,,,,,,,,,,,,,,,,
20,,,,,S44,,,,,,,,,,,,,,,,,,,,
21,,,,,R9,,,,,,,,,,,,,,,,,,,,
22,,,,,R10,,,,,,,,,,,,,,,,,,,,
23,,,,,R11,,,,,,,,,,,,,,,,,,,,
24,,,,,S45,,,,,,,,,S46,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,R12
26,,,,,,,,,,,,,,,,,,,,,,,,,R13
27,,,,,,,,,,,,,,,,,,,,,,,,,R14
28,,,,,,,,,,,,,,,,,,,,,,,,,R15
29,,,,S49,,,,,,,,,,,,,,,,,,,,,
30,,,,R21,,,,,,,,,,,,,,,,,,,,,
31,,,,S50,,,,,,,,,,,,,,,,,,,,,
32,,,,R19,,,,,,,,,,,,,,,,,,,,,
33,,,,R20,,,,,,,,,,,,,,,,,,,,,
34,,,,,S6,,,,,,S12,S13,,,,,S15,,,,,S38,,,
35,,,,,S6,,,,,,S12,S13,,,,,S15,,,,,S38,,,
36,,,,,S6,,,,,,S12,S13,,,,,S15,,,,,S38,,,
37,,,,,R27,,,,,R27,R27,R27,,,,,R27,,,,,R27,R27,R27,
38,,,,,R33,,,,,R33,R33,R33,,,,,R33,,,,,R33,R33,R33,
39,,,,,S45,,,,,,,,,S46,,,,,,,,,,,
40,,,,,S45,,,,,,,,,S46,,,,,,,,,,,
41,,,,,R4,,,,,R4,R4,R4,,,,,R4,,,,,,R4,,
42,,,,,R5,,,,,R5,R5,R5,,,,,R5,,,,,,R5,,
43,,,,S57,,,,,,,,,,,,,,,,,,,,,
44,,,,R8,,S58,,,,,,,,,,,,,,,,,,,
45,,,,R25,,,,,,,,,,,,R25,,,R25,,R25,,,,
46,,,,R26,,,,,,,,,,,,R26,,,R26,,R26,,,,
47,,,,S59,,,,,,,,,,,,,,,,,,,,,
48,,,,R24,,,,,,,,,,,,S60,,,,,,,,,
49,,,,,R17,,,,,R17,R17,R17,,,,,R17,,,,,R17,R17,R17,
50,,,,,R18,,,,,R18,R18,R18,,,,,R18,,,,,R18,R18,R18,
51,,,,,R30,,,,,R30,R30,R30,,,,,R30,,,,,R30,R30,R30,
52,,,,,R31,,,,,R31,R31,R31,,,,,R31,,,,,R31,R31,R31,
53,,,,,R32,,,,,R32,R32,R32,,,,,R32,,,,,R32,R32,R32,
54,,,,,,,,,,,,,,,,,,,,,S61,,,,
55,,,,,,,,,,,,,,,,,,,S62,,,,,,
56,,,,,,,,,,,,,,,,,,,S63,,,,,,
57,,,R6,,,,R6,R6,R6,,,,,,,,,,,,,,,,
58,,,,,S44,,,,,,,,,,,,,,,,,,,,
59,,,,,R22,,,,,R22,R22,R22,,,,,R22,,,,,R22,R22,R22,
60,,,,,S45,,,,,,,,,S46,,,,,,,,,,,
61,,,,,S45,,,,,,,,,S46,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,S67,,,,,
63,,,,,S6,,,,,,S12,S13,,,,,S15,,,,,,,S72,
64,,,,R7,,,,,,,,,,,,,,,,,,,,,
65,,,,R23,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,R29,,,,,,
67,,,,,R28,,,,,,R28,R28,,,,,R28,,,,,R28,,,
68,,,,,S6,,,,,,S12,S13,,,,,S15,,,,,,,S72,
69,,,,,S6,,,,,,S12,S13,,,,,S15,,,,,,,S72,
70,,,,,S6,,,,,,S12,S13,,,,,S15,,,,,,,S72,
71,,,,,R34,,,,,R34,R34,R34,,,,,R34,,,,,,R34,,
72,,,,,R38,,,,,R38,R38,R38,,,,,R38,,,,,,R38,,
73,,,,,R35,,,,,R35,R35,R35,,,,,R35,,,,,,R35,,
74,,,,,R36,,,,,R36,R36,R36,,,,,R36,,,,,,R36,,
75,,,,,R37,,,,,R37,R37,R37,,,,,R37,,,,,,R37,,
